strategy,composite_score,rsi_period,macd_fast,macd_slow,cci_period,cci_oversold,cci_overbought,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
momentum_combo,2.0999999999999996,12,8,26,18,-100,100,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,26,18,-100,120,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,26,20,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,26,20,-100,100,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,26,20,-100,120,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,31,18,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,31,18,-100,100,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,31,18,-100,120,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,31,20,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,31,20,-100,100,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,31,20,-100,120,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,14,8,21,18,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,14,8,21,18,-100,100,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,14,8,21,18,-100,120,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,14,8,21,20,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,14,8,21,20,-100,100,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,14,8,21,20,-100,120,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,14,8,26,18,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
