ema_period,sma_period,rsi_period,composite_score,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
25,40,18,2.0999999999999996,1,100.0,inf,10.62111562512396,10621.115625123959,10621.115625123959,0.0,10621.115625123959,10621.115625123959,0.0,0.09999999999999608,0.09999999999999608,0.0,0.0,inf,110621.11562512396,1,0,green,red,red,green,green,green,red
25,50,18,2.0999999999999996,1,100.0,inf,7.149157058991623,7149.157058991623,7149.157058991623,0.0,7149.157058991623,7149.157058991623,0.0,3.238302204015876,3.238302204015876,0.0,0.0,inf,107149.15705899162,1,0,green,red,red,green,green,green,red
25,60,18,2.0999999999999996,1,100.0,inf,10.62111562512396,10621.115625123959,10621.115625123959,0.0,10621.115625123959,10621.115625123959,0.0,0.09999999999999608,0.09999999999999608,0.0,0.0,inf,110621.11562512396,1,0,green,red,red,green,green,green,red
25,50,14,2.0,3,66.66666666666666,1.8750048290701926,4.042756117880606,4042.7561178806063,8663.023325064554,4620.267207183948,1347.5853726268688,4331.511662532277,-4620.267207183948,4.720267207183948,4.720267207183948,4.1694958970152864,0.0,2.027280133731609,104042.7561178806,2,1,red,green,red,green,green,green,red
20,40,10,1.9500000000000002,7,57.14285714285714,1.1144733514994989,1.7330694370277633,1733.0694370277633,16872.57059014417,15139.501153116405,247.58134814682333,4218.142647536042,-5046.500384372135,14.272825038461756,14.272825038461756,1.3171690718732154,2.1499771479838983,1.247752856644403,101733.06943702776,4,3,red,yellow,yellow,green,green,yellow,red
5,50,10,1.5000000000000002,3,66.66666666666666,0.5285592408439326,-3.163633656914084,-3163.633656914084,3546.9309166228923,6710.564573536976,-1054.5445523046947,1773.4654583114461,-6710.564573536976,6.8105645735369755,6.8105645735369755,-2.7882329713023815,0.0,0.6013461067674405,96836.36634308592,2,1,red,red,red,green,green,red,red
15,30,10,1.5000000000000002,6,66.66666666666666,0.2346829227285839,-10.414530388340282,-10414.530388340281,3193.594528290603,13608.124916630884,-1735.7550647233802,798.3986320726508,-6804.062458315442,10.985537639484216,10.985537639484216,-6.458130642603415,-78.17716380224894,0.2771657385494851,89585.46961165972,4,2,red,red,red,green,green,red,red
15,40,10,1.5000000000000002,5,60.0,0.41547638810682164,-7.0340584590532815,-7034.058459053282,4999.772708640856,12033.831167694138,-1406.8116918106564,1666.5909028802853,-6016.915583847069,10.790134126389429,10.790134126389429,-4.234066563009396,-5.848994961685154,0.47532534324707804,92965.94154094672,3,2,red,red,red,green,green,red,red
20,30,10,1.5000000000000002,9,55.55555555555556,0.49303217602171373,-14.790842483366243,-14790.842483366243,14384.268408877964,29175.110892244207,-1643.4269425962493,2876.853681775593,-7293.777723061052,18.611778991133907,18.611778991133907,-2.93024703071693,-3.4556536223706042,0.5784126697681533,85209.15751663376,5,4,red,red,red,green,green,red,red
20,50,10,1.5000000000000002,11,63.63636363636363,0.898969406945245,-1.8399873996289242,-1839.9873996289243,16372.193129012696,18212.18052864162,-167.27158178444768,2338.8847327160993,-4553.045132160405,12.863616459164628,12.863616459164628,0.12017246099746089,0.36563171844861236,1.0215184292946973,98160.01260037108,7,4,red,red,red,green,green,red,red
